pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
1	Um grupo de crianças está brincando em um quintal e um homem velho está parado ao fundo	Um grupo de meninos em um quintal está brincando e um homem está de pé ao fundo	NEUTRAL	4.5	A_neutral_B	B_neutral_A	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	FLICKR	FLICKR	TRAIN
2	Um grupo de crianças está brincando na casa e não tem nenhum homem parado ao fundo	Um grupo de crianças está brincando em um quintal e um homem velho está parado ao fundo	NEUTRAL	3.2	A_contradicts_B	B_neutral_A	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	FLICKR	FLICKR	TRAIN
3	Os meninos jovens estão brincando ao ar livre e o homem está sorrindo por perto	As crianças estão brincando ao ar livre perto de um homem com um sorriso	ENTAILMENT	4.7	A_entails_B	B_entails_A	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	FLICKR	FLICKR	TRAIN
4	Os meninos jovens estão brincando ao ar livre e o homem está sorrindo por perto	Não tem nenhum menino brincando ao ar livre e não tem nenhum homem sorrindo	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	FLICKR	FLICKR	TRIAL
5	As crianças estão brincando ao ar livre perto de um homem com um sorriso	Um grupo de crianças está brincando em um quintal e um homem velho está parado ao fundo	NEUTRAL	3.4	A_neutral_B	B_neutral_A	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	FLICKR	FLICKR	TRAIN
6	Não tem nenhum menino brincando ao ar livre e não tem nenhum homem sorrindo	Um grupo de crianças está brincando em um quintal e um homem velho está parado ao fundo	NEUTRAL	3.3	A_neutral_B	B_neutral_A	There is no boy playing outdoors and there is no man smiling	A group of kids is playing in a yard and an old man is standing in the background	FLICKR	FLICKR	TEST
7	Um grupo de meninos em um quintal está brincando e um homem está de pé ao fundo	Os meninos jovens estão brincando ao ar livre e o homem está sorrindo por perto	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoors and the man is smiling nearby	FLICKR	FLICKR	TEST
8	Um grupo de crianças está brincando na casa e não tem nenhum homem parado ao fundo	Os meninos jovens estão brincando ao ar livre e o homem está sorrindo por perto	NEUTRAL	3	A_neutral_B	B_contradicts_A	A group of children is playing in the house and there is no man standing in the background	The young boys are playing outdoors and the man is smiling nearby	FLICKR	FLICKR	TEST
9	Os meninos jovens estão brincando ao ar livre e o homem está sorrindo por perto	Um grupo de crianças está brincando em um quintal e um homem velho está parado ao fundo	NEUTRAL	3.7	A_neutral_B	B_neutral_A	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	FLICKR	FLICKR	TRAIN
10	Um cachorro castanho está atacando outro animal na frente do homem alto de calça	Um cachorro castanho está atacando outro animal em frente do homem de calça	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	FLICKR	FLICKR	TEST
